Table: Chi-Square Test P-values Table,,,,,,,,,,,,,
,,,,,,,,,,,,,
,          ,      Body, Sweetness,     Smoky, Medicinal,   Tobacco,     Honey,     Spicy,     Winey,     Nutty,     Malty,    Fruity,    Floral
,Body      ,        NA,0.61208,0.0010298,0.0012653,0.6506024,0.0688494,0.4500724,0.0080272,0.8723479,0.283216,0.4867375,0.0067203
,Sweetness ,0.61208,        NA,0.0053284,0.0021954,0.2612987,0.2331098,0.9087212,0.2265447,0.9156282,0.5725282,0.1552901,0.7528668
,Smoky     ,0.0010298,0.0053284,        NA,0,0.0003571,0.0467169,0.0508694,0.9849477,0.0780522,0.4511898,0.1299557,0.0017848
,Medicinal ,0.0012653,0.0021954,0,        NA,0.0028044,0.2127255,0.331688,0.8501934,0.0777361,0.5802125,0.1428813,0.0000058
,Tobacco   ,0.6506024,0.2612987,0.0003571,0.0028044,        NA,0.0322044,0.6553593,0.7191825,0.8586578,0.6283779,0.0954241,0.0154458
,Honey     ,0.0688494,0.2331098,0.0467169,0.2127255,0.0322044,        NA,0.0105901,0.1956631,0.8649464,0.0594477,0.5279419,0.7963392
,Spicy     ,0.4500724,0.9087212,0.0508694,0.331688,0.6553593,0.0105901,        NA,0.2883617,0.9769044,0.8983491,0.9042024,0.6363832
,Winey     ,0.0080272,0.2265447,0.9849477,0.8501934,0.7191825,0.1956631,0.2883617,        NA,0.5677103,0.0212859,0.1354745,0.4612209
,Nutty     ,0.8723479,0.9156282,0.0780522,0.0777361,0.8586578,0.8649464,0.9769044,0.5677103,        NA,0.0004156,0.926719,0.401676
,Malty     ,0.283216,0.5725282,0.4511898,0.5802125,0.6283779,0.0594477,0.8983491,0.0212859,0.0004156,        NA,0.6954279,0.788146
,Fruity    ,0.4867375,0.1552901,0.1299557,0.1428813,0.0954241,0.5279419,0.9042024,0.1354745,0.926719,0.6954279,        NA,0.2166557
,Floral    ,0.0067203,0.7528668,0.0017848,0.0000058,0.0154458,0.7963392,0.6363832,0.4612209,0.401676,0.788146,0.2166557,        NA
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table: Bartlett's Test P-values Table,,,,,,,,,,,,,
,,,,,,,,,,,,,
,          ,      Body, Sweetness,     Smoky, Medicinal, Tobacco,     Honey,     Spicy,     Winey,     Nutty,     Malty,    Fruity,    Floral
,Body      ,        NA,0.0173996,0.4936366,0.5681465,0,0.4259495,0.1182602,0.9815033,0.2541262,0.0003808,0.1045168,0.4375402
,Sweetness ,0.0173996,        NA,0.0888076,0.0033103,0,0.1116489,0.409369,0.0163525,0.2121503,0.2284748,0.4452026,0.1072887
,Smoky     ,0.4936366,0.0888076,        NA,0.2098877,0,0.9109933,0.3786675,0.4791394,0.6477424,0.0038675,0.3462515,0.9267284
,Medicinal ,0.5681465,0.0033103,0.2098877,        NA,0,0.1722227,0.0333919,0.5839525,0.0876554,0.0000413,0.0286564,0.1785028
