"","Variable","W","p_value"
"W","Body",0.857193902747825,1.28443553335098e-07
"W1","Sweetness",0.834534237075265,2.1677145766011e-08
"W2","Smoky",0.803602342031943,2.40466762196563e-09
"W3","Medicinal",0.613302642196227,1.03557322903575e-13
"W4","Tobacco",0.372668621549885,2.07573099919711e-17
"W5","Honey",0.854891165365921,1.06396197445964e-07
"W6","Spicy",0.847107300233753,5.70342473937864e-08
"W7","Winey",0.826109025093231,1.16264339073599e-08
"W8","Nutty",0.836282834492505,2.47299825404326e-08
"W9","Malty",0.776819583016044,4.26115468983924e-10
"W10","Fruity",0.826606737518835,1.20558666449999e-08
"W11","Floral",0.839362662134861,3.12562770928305e-08
