RowID,Name,Latitude,Longitude,dwx_cluster,max_temp,min_temp,rain_mm,mm_dd_yyyy
87,Wick Airport,58.454,-3.088,8,5.9,0.9,48.3,1/1/1914
88,Wick Airport,58.454,-3.088,8,7.7,2.3,66,2/1/1914
89,Wick Airport,58.454,-3.088,8,6.4,1.1,76.7,3/1/1914
90,Wick Airport,58.454,-3.088,8,10.8,4.4,27.9,4/1/1914
91,Wick Airport,58.454,-3.088,8,10.7,4.4,61,5/1/1914
92,Wick Airport,58.454,-3.088,8,13.5,7.6,21.1,6/1/1914
93,Wick Airport,58.454,-3.088,8,14.4,10.2,91.9,7/1/1914
94,Wick Airport,58.454,-3.088,8,15.2,10.2,40.6,8/1/1914
95,Wick Airport,58.454,-3.088,8,13.4,7.9,58.9,9/1/1914
96,Wick Airport,58.454,-3.088,8,11.8,6.1,48.8,10/1/1914
97,Wick Airport,58.454,-3.088,8,8.8,3,105.2,11/1/1914
98,Wick Airport,58.454,-3.088,8,5.7,0.5,84.1,12/1/1914
99,Wick Airport,58.454,-3.088,8,5.6,1.3,58.4,1/1/1915
100,Wick Airport,58.454,-3.088,8,5.5,0.9,63.5,2/1/1915
101,Wick Airport,58.454,-3.088,8,6.7,1,50.8,3/1/1915
102,Wick Airport,58.454,-3.088,8,8.7,2.4,58.4,4/1/1915
103,Wick Airport,58.454,-3.088,8,9.4,3.6,12.7,5/1/1915
104,Wick Airport,58.454,-3.088,8,12.6,6.8,22.9,6/1/1915
105,Wick Airport,58.454,-3.088,8,14.3,8.9,63.5,7/1/1915
106,Wick Airport,58.454,-3.088,8,14.6,10.3,22.9,8/1/1915
107,Wick Airport,58.454,-3.088,8,13.2,8.7,86.4,9/1/1915
108,Wick Airport,58.454,-3.088,8,10.9,5.2,27.9,10/1/1915
109,Wick Airport,58.454,-3.088,8,6.3,1.2,96.5,11/1/1915
110,Wick Airport,58.454,-3.088,8,5.4,0.2,111.8,12/1/1915
111,Wick Airport,58.454,-3.088,8,7.7,2.8,76.2,1/1/1916
112,Wick Airport,58.454,-3.088,8,5.3,1,33,2/1/1916
113,Wick Airport,58.454,-3.088,8,4.7,0.6,53.3,3/1/1916
114,Wick Airport,58.454,-3.088,8,8.7,3,43.2,4/1/1916
115,Wick Airport,58.454,-3.088,8,9.7,5.1,78.7,5/1/1916
116,Wick Airport,58.454,-3.088,8,11,7.3,86.4,6/1/1916
117,Wick Airport,58.454,-3.088,8,13.8,9.6,33,7/1/1916
118,Wick Airport,58.454,-3.088,8,13.5,8.8,30.5,8/1/1916
119,Wick Airport,58.454,-3.088,8,13.4,8.1,33,9/1/1916
120,Wick Airport,58.454,-3.088,8,11.1,5.4,94,10/1/1916
121,Wick Airport,58.454,-3.088,8,9,4.3,66,11/1/1916
122,Wick Airport,58.454,-3.088,8,6.3,1,86.4,12/1/1916
123,Wick Airport,58.454,-3.088,8,4.6,0.8,94,1/1/1917
124,Wick Airport,58.454,-3.088,8,5.3,0.4,17.8,2/1/1917
125,Wick Airport,58.454,-3.088,8,5.4,0.2,53.3,3/1/1917
126,Wick Airport,58.454,-3.088,8,6.8,0,58.4,4/1/1917
127,Wick Airport,58.454,-3.088,8,10.1,4.7,20.3,5/1/1917
128,Wick Airport,58.454,-3.088,8,13.4,7.5,78.7,6/1/1917
129,Wick Airport,58.454,-3.088,8,14.4,9.5,35.6,7/1/1917
130,Wick Airport,58.454,-3.088,8,14.9,10.7,63.5,8/1/1917
131,Wick Airport,58.454,-3.088,8,14.3,8.3,81.3,9/1/1917
132,Wick Airport,58.454,-3.088,8,9.2,3.1,127,10/1/1917
133,Wick Airport,58.454,-3.088,8,9,3.6,124.5,11/1/1917
134,Wick Airport,58.454,-3.088,8,5.5,1.1,40.6,12/1/1917
135,Wick Airport,58.454,-3.088,8,4.3,-1.8,48.3,1/1/1918
136,Wick Airport,58.454,-3.088,8,7.2,2.8,58.4,2/1/1918
137,Wick Airport,58.454,-3.088,8,7.3,1.8,35.6,3/1/1918
138,Wick Airport,58.454,-3.088,8,7.4,2.4,30.5,4/1/1918
139,Wick Airport,58.454,-3.088,8,11.7,6.9,35.6,5/1/1918
140,Wick Airport,58.454,-3.088,8,13,6.2,40.6,6/1/1918
141,Wick Airport,58.454,-3.088,8,13.6,9.7,139.7,7/1/1918
142,Wick Airport,58.454,-3.088,8,15,10.3,127,8/1/1918
143,Wick Airport,58.454,-3.088,8,11.5,5.3,101.6,9/1/1918
144,Wick Airport,58.454,-3.088,8,10.8,5.6,48.3,10/1/1918
145,Wick Airport,58.454,-3.088,8,8.5,3.1,53.3,11/1/1918
146,Wick Airport,58.454,-3.088,8,6.9,2.7,96.5,12/1/1918
147,Wick Airport,58.454,-3.088,8,5.8,2.4,81.3,1/1/1919
148,Wick Airport,58.454,-3.088,8,4.3,-1.1,38.1,2/1/1919
149,Wick Airport,58.454,-3.088,8,4.9,-0.4,86.4,3/1/1919
150,Wick Airport,58.454,-3.088,8,9.2,2.7,50.8,4/1/1919
151,Wick Airport,58.454,-3.088,8,10.8,6.3,15.2,5/1/1919
152,Wick Airport,58.454,-3.088,8,13.5,7.7,73.7,6/1/1919
153,Wick Airport,58.454,-3.088,8,13.7,8.3,20.3,7/1/1919
154,Wick Airport,58.454,-3.088,8,14.7,8.8,86.4,8/1/1919
155,Wick Airport,58.454,-3.088,8,13.3,6.7,96.5,9/1/1919
156,Wick Airport,58.454,-3.088,8,10.2,4.7,71.1,10/1/1919
157,Wick Airport,58.454,-3.088,8,5.7,0.2,124.5,11/1/1919
158,Wick Airport,58.454,-3.088,8,5.7,0.5,124.5,12/1/1919
159,Wick Airport,58.454,-3.088,8,5.8,0.2,83.8,1/1/1920
160,Wick Airport,58.454,-3.088,8,7.4,1.7,60.2,2/1/1920
