Year,Total_Production_Tonnes,Total_Area_Hectare,Yield_per_Hectare,Secondary_Production_Tonnes,Secondary_Area_Hectare,Secondary_Yield_per_Hectare
2002,2540349,263914,4.85,1279984,61234,6.7
2003,2870410,264920,6.05,1603596,55649,7.11
2004,2904878,257462,5.72,1473709,56348,7.4
2005,2742230,243298,5.74,1396231,51341,7.58
2006,2744088,220639,5.95,1313527,53762,7.76
2007,2699921,226019,5.8,1312003,52625,7.63
2008,3043330,262322,5.72,1500118,57612,7.55
2009,2887132,287011,5.81,1668240,45149,6.97
2010,2857814,242364,5.82,1410270,48010,7.2
2011,2948871,262948,5.83,1532979,45477,7.34
2012,2507016,289222,5.0,1446950,42816,6.46
2013,2836836,296444,5.78,1713548,42694,6.57
2014,3221284,274377,6.07,1664905,52507,7.82
2015,3100624,255878,5.94,1520756,51808,7.84
2016,2752412,238899,5.43,1296481,48031,6.84
2017,2859045,243838,5.88,1432815,47509,7.41
2018,2512412,250476,5.54,1387503,37542,7.14
2019,3068559,242090,6.38,1543825,48802,8.17
2020,3112216,258702,6.85,1771970,43091,7.29
2021,2862362,248921,5.83,1450805,43246,7.69
