RowID,Name,Latitude,Longitude,Postcode,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Cluster
1,Aberfeldy,56.62533821,-3.848830914,"	PH15 2EB",-0.075425468,-0.40765084,0.541728978,-0.555251526,-0.362738125,0.891080064,-0.491880305,1.103453698,0.654742084,0.316063762,0.25509887,0.355664176,4
2,Aberlour,57.46763444,-3.228155527,"	AB38 9PJ",1.00567291,0.994668051,-0.622988325,-0.555251526,-0.362738125,3.249015001,2.071859465,1.103453698,0.654742084,1.914974556,1.545599036,0.355664176,4
3,Ancnoc,57.44198121,-2.783748191,"	AB5 5LI",-1.156523847,0.994668051,0.541728978,-0.555251526,-0.362738125,0.891080064,-1.77375019,-1.053296711,0.654742084,0.316063762,1.545599036,0.355664176,1
4,Ardbeg,55.64066288,-6.107465167,"	PA42 7EB",2.086771289,-1.809969731,2.871163586,3.508717088,-0.362738125,-1.466854874,0.78998958,-1.053296711,-0.569340942,0.316063762,-1.035401296,-1.997191141,2
5,Ardmore,57.35077581,-2.74208104,"	AB54 4NH",-0.075425468,-0.40765084,0.541728978,-0.555251526,-0.362738125,-0.287887405,-0.491880305,0.025078493,0.654742084,1.914974556,-1.035401296,-0.820763483,4
6,Arranisleof,55.69919925,-5.277748285,KA27 8HJ,-0.075425468,0.994668051,-0.622988325,0.460740628,-0.362738125,-0.287887405,-0.491880305,0.025078493,-1.793423968,-1.282847033,-1.035401296,0.355664176,3
7,Auchentoshan,55.92244359,-4.438076149,G81 4SJ,-2.237622225,-0.40765084,-1.787705629,-0.555251526,-0.362738125,-0.287887405,-0.491880305,-1.053296711,0.654742084,0.316063762,1.545599036,1.532091834,1
8,Auchroisk,57.52411508,-2.989341913,"	AB55 3XS",-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,-0.491880305,1.103453698,0.654742084,0.316063762,0.25509887,-0.820763483,4
9,Aultmore,57.52411508,-2.989341913,"	AB55 3QY",-0.075425468,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-1.77375019,-1.053296711,0.654742084,0.316063762,0.25509887,0.355664176,1
10,Balblair,57.84303252,-4.176370967,"	IV19 1LB",-0.075425468,0.994668051,0.541728978,0.460740628,-0.362738125,-1.466854874,0.78998958,-1.053296711,0.654742084,-1.282847033,0.25509887,-0.820763483,3
